director_name,actor_name,"gross,",eval
James Cameron,CCH Pounder,760505847.0,9
Gore Verbinski,Johnny Depp,309404152.0,8
Sam Mendes,Christoph Waltz,200074175.0,8
Christopher Nolan,Tom Hardy,448130642.0,9
Doug Walker,Doug Walker,,0
Andrew Stanton,Daryl Sabara,73058679.0,6
Sam Raimi,J.K. Simmons,336530303.0,8
Nathan Greno,Brad Garrett,200807262.0,8
Joss Whedon,Chris Hemsworth,458991599.0,9
David Yates,Alan Rickman,301956980.0,8
Zack Snyder,Henry Cavill,330249062.0,8
Bryan Singer,Kevin Spacey,200069408.0,8
Marc Forster,Giancarlo Giannini,168368427.0,7
Gore Verbinski,Johnny Depp,423032628.0,9
Gore Verbinski,Johnny Depp,89289910.0,6
Zack Snyder,Henry Cavill,291021565.0,8
Andrew Adamson,Peter Dinklage,141614023.0,7
Joss Whedon,Chris Hemsworth,623279547.0,9
Rob Marshall,Johnny Depp,241063875.0,8
Barry Sonnenfeld,Will Smith,179020854.0,7
Peter Jackson,Aidan Turner,255108370.0,8
Marc Webb,Emma Stone,262030663.0,8
Ridley Scott,Mark Addy,105219735.0,7
Peter Jackson,Aidan Turner,258355354.0,8
Chris Weitz,Christopher Lee,70083519.0,6
Peter Jackson,Naomi Watts,218051260.0,8
James Cameron,Leonardo DiCaprio,658672302.0,9
Anthony Russo,Robert Downey Jr.,407197282.0,9
Peter Berg,Liam Neeson,65173160.0,6
Colin Trevorrow,Bryce Dallas Howard,652177271.0,9
Sam Mendes,Albert Finney,304360277.0,8
Sam Raimi,J.K. Simmons,373377893.0,8
Shane Black,Robert Downey Jr.,408992272.0,9
Tim Burton,Johnny Depp,334185206.0,8
Brett Ratner,Hugh Jackman,234360014.0,8
Dan Scanlon,Steve Buscemi,268488329.0,8
Michael Bay,Glenn Morshower,402076689.0,9
Michael Bay,Bingbing Li,245428137.0,8
Sam Raimi,Tim Holmes,234903076.0,8
Marc Webb,Emma Stone,202853933.0,8
Joseph Kosinski,Jeff Bridges,172051787.0,7
John Lasseter,Joe Mantegna,191450875.0,7
Martin Campbell,Ryan Reynolds,116593191.0,7
Lee Unkrich,Tom Hanks,414984497.0,9
McG,Christian Bale,125320003.0,7
James Wan,Jason Statham,350034110.0,8
Marc Forster,Peter Capaldi,202351611.0,8
Bryan Singer,Jennifer Lawrence,233914986.0,8
J.J. Abrams,Benedict Cumberbatch,228756232.0,8
Bryan Singer,Eddie Marsan,65171860.0,6
Baz Luhrmann,Leonardo DiCaprio,144812796.0,7
Mike Newell,Jake Gyllenhaal,90755643.0,6
Guillermo del Toro,Charlie Hunnam,101785482.0,7
Michael Bay,Glenn Morshower,352358779.0,8
Steven Spielberg,Harrison Ford,317011114.0,8
Peter Sohn,A.J. Buckley,123070338.0,7
Mark Andrews,Kelly Macdonald,237282182.0,8
Justin Lin,Sofia Boutella,130468626.0,7
Andrew Stanton,John Ratzenberger,223806889.0,8
Brett Ratner,Tzi Ma,140080850.0,7
Roland Emmerich,Oliver Platt,166112167.0,7
Robert Zemeckis,Robin Wright,137850096.0,7
